Organization,State,Program,Award Amount,Award Date,Type
University of Arizona,AZ,Research and Development,"$1,500,000.00 ",9/10/2021,FPS
Palo Alto Veterans Institute For Research,CA,Research and Development,"$1,500,000.00 ",9/10/2021,FPS
"American National Red Cross, The",DC,Fire Prevention and Safety,"$1,500,000.00 ",9/10/2021,FPS
International Association of Firefighters,DC,Fire Prevention and Safety,"$1,499,860.95 ",9/10/2021,FPS
"Wichita, City of (Inc)",KS,Fire Prevention and Safety,"$1,066,666.67 ",9/10/2021,FPS
University of Massachusetts,MA,Research and Development,"$863,223.81 ",9/10/2021,FPS
"Fire Protection Research Foundation, The",MA,Research and Development,"$1,000,000.52 ",9/10/2021,FPS
Cambridge Public Health Commission,MA,Research and Development,"$1,179,716.19 ",9/10/2021,FPS
"National Fallen Firefighters Foundation, The",MD,Fire Prevention and Safety,"$1,499,996.17 ",9/10/2021,FPS
"Institution of Fire Engineers, United States of America Branch, The",MD,Fire Prevention and Safety,"$1,008,314.29 ",9/10/2021,FPS
"International Association of Arson Investigators, Inc.",MD,Fire Prevention and Safety,"$1,294,857.14 ",9/10/2021,FPS
"University of Maryland, College Park",MD,Fire Prevention and Safety,"$126,488.46 ",9/10/2021,FPS
"National Volunteer Fire Council, Inc.",MD,Fire Prevention and Safety,"$1,428,571.43 ",9/10/2021,FPS
Michigan Public Health Institute,MI,Fire Prevention and Safety,"$1,408,797.00 ",9/10/2021,FPS
Fire Department Safety officers Association,MI,Fire Prevention and Safety,"$1,500,000.00 ",9/10/2021,FPS
North Carolina State University,NC,Research and Development,"$1,500,000.00 ",9/10/2021,FPS
Duke University,NC,Fire Prevention and Safety,"$1,180,123.80 ",9/10/2021,FPS
"Ndri - Usa, Inc.",NY,Research and Development,"$225,000.00 ",9/10/2021,FPS
New York University,NY,Fire Prevention and Safety,"$1,427,705.72 ",9/10/2021,FPS
Pleasant Valley Joint Fire District,OH,Fire Prevention and Safety,"$23,071.43 ",9/10/2021,FPS
Middle Taylor Township Volunteer Fire Company,PA,Fire Prevention and Safety,"$22,857.14 ",9/10/2021,FPS
"Spangler Fire Company, The",PA,Fire Prevention and Safety,"$15,238.10 ",9/10/2021,FPS
University of Texas At Austin,TX,Research and Development,"$1,045,594.48 ",9/10/2021,FPS
Fairfax County Virginia,VA,Fire Prevention and Safety,"$60,250.27 ",9/10/2021,FPS
West Side Volunteer Fire Fighters,WV,Fire Prevention and Safety,"$13,000.00 ",9/10/2021,FPS
"Oneonta, City of",AL,Fire Prevention and Safety,"$47,619.05 ",9/3/2021,FPS
Pinetop Fire District,AZ,Fire Prevention and Safety,"$27,439.05 ",9/3/2021,FPS
Rincon Valley Fire District,AZ,Fire Prevention and Safety,"$19,657.14 ",9/3/2021,FPS
Golder Ranch Fire District,AZ,Fire Prevention and Safety,"$24,304.38 ",9/3/2021,FPS
Arizona Fire & Medical Authority,AZ,Fire Prevention and Safety,"$46,848.59 ",9/3/2021,FPS
Alisa Ann Ruch Burn Foundation,CA,Fire Prevention and Safety,"$365,371.43 ",9/3/2021,FPS
"Montebello, City of",CA,Fire Prevention and Safety,"$188,843.47 ",9/3/2021,FPS
"Rancho Cucamonga, City of",CA,Fire Prevention and Safety,"$82,383.33 ",9/3/2021,FPS
"Oxnard, City of",CA,Fire Prevention and Safety,"$346,833.33 ",9/3/2021,FPS
"Fresno, City of",CA,Fire Prevention and Safety,"$7,842.55 ",9/3/2021,FPS
North Tahoe Fire Protection District,CA,Fire Prevention and Safety,"$122,021.43 ",9/3/2021,FPS
"Manteca, City of",CA,Fire Prevention and Safety,"$3,091.43 ",9/3/2021,FPS
"Denver, City & County of",CO,Fire Prevention and Safety,"$59,068.57 ",9/3/2021,FPS
Colorado Springs City Government,CO,Fire Prevention and Safety,"$43,733.34 ",9/3/2021,FPS
Canon City Area Fire Protection District,CO,Fire Prevention and Safety,"$7,850.48 ",9/3/2021,FPS
"Aurora, City of",CO,Fire Prevention and Safety,"$198,500.95 ",9/3/2021,FPS
"Stratford, Town of",CT,Fire Prevention and Safety,"$60,891.43 ",9/3/2021,FPS
"Tampa, City of",FL,Fire Prevention and Safety,"$52,451.43 ",9/3/2021,FPS
"Osceola, City of",IA,Fire Prevention and Safety,"$180,223.33 ",9/3/2021,FPS
"Brookfield, Village of",IL,Fire Prevention and Safety,"$54,863.81 ",9/3/2021,FPS
"Champaign, City of",IL,Fire Prevention and Safety,"$53,600.00 ",9/3/2021,FPS
Louisville-Jefferson County Metro Government,KY,Fire Prevention and Safety,"$376,190.48 ",9/3/2021,FPS
"State Fire Marshal's office, Louisiana",LA,Fire Prevention and Safety,"$160,714.29 ",9/3/2021,FPS
"Donaldsonville, City of",LA,Fire Prevention and Safety,"$9,523.81 ",9/3/2021,FPS
"Quincy, City of",MA,Fire Prevention and Safety,"$23,315.81 ",9/3/2021,FPS
"Boston, City of",MA,Fire Prevention and Safety,"$74,266.67 ",9/3/2021,FPS
"First Responder Center For Excellence For Reducing Occupational Illness, Injuries And Dea",MD,Fire Prevention and Safety,"$846,906.76 ",9/3/2021,FPS
National Fire Sprinkler Association Inc,MD,Fire Prevention and Safety,"$276,761.90 ",9/3/2021,FPS
"Stanton Township Volunteer Fire Department Precinct #1, Inc",MI,Fire Prevention and Safety,"$24,642.86 ",9/3/2021,FPS
"Grand Rapids, City of",MI,Fire Prevention and Safety,"$284,322.86 ",9/3/2021,FPS
"Benton Harbor, City of",MI,Fire Prevention and Safety,"$23,809.52 ",9/3/2021,FPS
"Hamtramck, City of",MI,Fire Prevention and Safety,"$14,667.62 ",9/3/2021,FPS
"Rochester, City of",MI,Fire Prevention and Safety,"$25,238.10 ",9/3/2021,FPS
Cloquet Area Fire District,MN,Fire Prevention and Safety,"$18,826.29 ",9/3/2021,FPS
Midcounty Fire Protection District,MO,Fire Prevention and Safety,"$5,022.86 ",9/3/2021,FPS
